episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.32315669500002286,True,False
2,460.0,702,1087,0.2,0.025979157981716773,1.957094466000001,True,False
3,430.0,506,1593,0.2,0.027946346777667268,7.461805288999983,True,False
4,380.0,514,2107,0.2,0.026272118276892797,12.940232771000012,True,False
5,180.0,443,2550,0.2,0.028144089769895044,17.773881141999993,True,False
