episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
90,520.0,609,55131,0.2,0.06512042555933524,609.4872681630002,True,False
91,370.0,446,55577,0.2,0.0753189968444141,615.0153718500001,True,False
92,430.0,555,56132,0.2,0.07117247565401544,621.4745024850001,True,False
93,470.0,808,56940,0.2,0.06813483327479646,630.3522203570001,True,False
94,440.0,467,57407,0.2,0.07551649542011578,635.3167548160002,True,False
95,270.0,584,57991,0.2,0.0665451002319994,641.3923073610001,True,False
96,910.0,819,58810,0.2,0.08187475655591342,651.1993127340002,True,False
97,610.0,847,59657,0.2,0.07205525123215509,660.383701472,True,False
98,860.0,850,60507,0.2,0.07299178451703826,669.8308819820002,True,False
99,800.0,897,61404,0.2,0.06420213454299503,679.0916242360001,True,False
100,700.0,655,62059,0.2,0.06377711373901257,686.3267356810002,True,False
